run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR5311188	PRJEB30134	SAMEA6450950	ERX5100591	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311188/ERR5311188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311188/ERR5311188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311188/33226_5#84.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311188/33226_5#84.cram.crai	
ERR5311191	PRJEB30134	SAMEA6450952	ERX5100594	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311191/ERR5311191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311191/ERR5311191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311191/33226_5#87.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311191/33226_5#87.cram.crai	
ERR5311192	PRJEB30134	SAMEA6450826	ERX5100595	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311192/ERR5311192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/002/ERR5311192/ERR5311192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311192/33226_5#88.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311192/33226_5#88.cram.crai	
ERR5311193	PRJEB30134	SAMEA6450955	ERX5100596	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311193/ERR5311193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311193/ERR5311193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311193/33226_5#89.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311193/33226_5#89.cram.crai	
ERR5311194	PRJEB30134	SAMEA6450830	ERX5100597	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311194/ERR5311194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311194/ERR5311194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311194/33226_5#90.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311194/33226_5#90.cram.crai	
ERR5311210	PRJEB30134	SAMEA6450982	ERX5100613	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311210/ERR5311210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311210/ERR5311210_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311210/33226_5#106.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311210/33226_5#106.cram.crai	
ERR5311211	PRJEB30134	SAMEA6450850	ERX5100614	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311211/ERR5311211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311211/ERR5311211_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311211/33226_5#107.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311211/33226_5#107.cram.crai	
ERR5311215	PRJEB30134	SAMEA6450855	ERX5100618	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311215/ERR5311215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311215/ERR5311215_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311215/33226_5#111.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311215/33226_5#111.cram.crai	
ERR5311220	PRJEB30134	SAMEA6450989	ERX5100623	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311220/ERR5311220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311220/ERR5311220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311220/33226_5#116.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311220/33226_5#116.cram.crai	
ERR5311223	PRJEB30134	SAMEA6450863	ERX5100626	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311223/ERR5311223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311223/ERR5311223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311223/33226_5#119.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311223/33226_5#119.cram.crai	
ERR5311226	PRJEB30134	SAMEA6450992	ERX5100629	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311226/ERR5311226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311226/ERR5311226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311226/33226_5#122.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311226/33226_5#122.cram.crai	
ERR5311227	PRJEB30134	SAMEA6450866	ERX5100630	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311227/ERR5311227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311227/ERR5311227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311227/33226_5#123.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311227/33226_5#123.cram.crai	
ERR5311228	PRJEB30134	SAMEA6450994	ERX5100631	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311228/ERR5311228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/008/ERR5311228/ERR5311228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311228/33226_5#124.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311228/33226_5#124.cram.crai	
ERR5311231	PRJEB30134	SAMEA6450870	ERX5100634	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311231/ERR5311231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311231/ERR5311231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311231/33226_5#127.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311231/33226_5#127.cram.crai	
ERR5311234	PRJEB30134	SAMEA6450871	ERX5100637	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311234/ERR5311234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311234/ERR5311234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311234/33226_5#130.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311234/33226_5#130.cram.crai	
ERR5311235	PRJEB30134	SAMEA6450998	ERX5100638	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311235/ERR5311235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/005/ERR5311235/ERR5311235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311235/33226_5#131.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311235/33226_5#131.cram.crai	
